,date/time,match,league,sport,bet365,betfair,st
0,2019-10-30 01:52:00+00:00,B Gojo v Reboul,Challenger Shenzhen 2,Tennis,False,True,
1,2019-10-30 01:52:00+00:00,Li v Jaziri,Challenger Shenzhen 2,Tennis,False,True,
2,2019-10-30 02:20:00+00:00,Los Angeles FC v Seattle Sounders,USA MLS Play-Offs,Soccer,False,True,
3,2019-10-30 02:42:00+00:00,Memphis Grizzlies @ Los Angeles Lakers,NBA,Basketball,False,True,
4,2019-10-30 02:52:00+00:00,Castelnuovo/Fancutt v Crnokrak/Romios,Challenger Playford 2,Tennis,False,True,
5,2019-10-30 02:52:00+00:00,Ratiwatana/Watanuki v Bolt/Reid,Challenger Playford 2,Tennis,False,True,
6,2019-10-30 03:13:00+00:00,Sweeny v A Harris,Challenger Playford 2,Tennis,False,True,
7,2019-10-30 03:19:00+00:00,Tseng v To Matsui,Challenger Shenzhen 2,Tennis,False,True,
8,2019-10-30 03:37:00+00:00,Lopez-Perez v Forejtek,Challenger Shenzhen 2,Tennis,False,True,
9,2019-10-30 03:45:00+00:00,Michelle Li v Hyo Min Kim,Macau Open Women,Badminton,False,True,
10,2019-10-30 04:00:00+00:00,Taylor/Taylor v Heliovaara/Niklas-Salmi,Challenger Playford 2,Tennis,False,True,
11,2019-10-30 04:00:00+00:00,Goransson/Rungkat v Doumbia/Reboul,Challenger Shenzhen 2,Tennis,False,True,
12,2019-10-30 04:07:00+00:00,T Wu v Ramanathan,Challenger Shenzhen 2,Tennis,False,True,
13,2019-10-30 04:07:00+00:00,Zh Zhang v Oliveira,Challenger Shenzhen 2,Tennis,False,True,
14,2019-10-30 04:10:00+00:00,Yiman Zhang v Crystal Pan,Macau Open Women,Badminton,False,True,
15,2019-10-30 04:10:00+00:00,Teck Zhi Soo v Yu Jen Chi,Macau Open MD,Badminton,False,True,
16,2019-10-30 04:30:00+00:00,Banes/Bourchier v Fanselow/Gerch,Challenger Playford 2,Tennis,False,True,
17,2019-10-30 04:50:00+00:00,Brice Leverdez v Aidil Sholeh Ali Sadikin,Macau Open MD,Badminton,False,True,
18,2019-10-30 05:13:00+00:00,Saville v Tabilo,Challenger Playford 2,Tennis,False,True,
19,2019-10-30 05:30:00+00:00,Porntip Buranaprasertsuk v Ruselli Hartawan,Macau Open Women,Badminton,False,True,
20,2019-10-30 05:37:00+00:00,Ferreira Silva v Yang,Challenger Shenzhen 2,Tennis,False,True,
21,2019-10-30 05:50:00+00:00,Ipswich R5 1200m Hcap,Ipswich,Horse Racing,False,True,
22,2019-10-30 06:00:00+00:00,Gabashvili/Jaziri v Matsui/Vardhan,Challenger Shenzhen 2,Tennis,False,True,
23,2019-10-30 06:04:00+00:00,Rich (AUS) 30th Oct,Other,Greyhounds racing,False,True,
24,2019-10-30 06:07:00+00:00,Diez/Safwat v Gong/Li,Challenger Shenzhen 2,Tennis,False,True,
25,2019-10-30 06:07:00+00:00,Safiullin v Istomin,Challenger Shenzhen 2,Tennis,False,True,
26,2019-10-30 06:10:00+00:00,Ga Eun Kim v Meng Zhou,Macau Open Women,Badminton,False,True,
27,2019-10-30 06:10:00+00:00,Cheuk Yiu Lee v Xiaodong Sheng,Macau Open MD,Badminton,False,True,
28,2019-10-30 06:14:00+00:00,Ascot R2 1200m 3yo,Ascot,Horse Racing,False,True,
29,2019-10-30 06:17:00+00:00,APrk (AUS) 30th Oct,Other,Greyhounds racing,False,True,
30,2019-10-30 06:24:00+00:00,Rich (AUS) 30th Oct,Other,Greyhounds racing,False,True,
31,2019-10-30 06:30:00+00:00,Ipswich R6 1666m CL3,Ipswich,Horse Racing,False,True,
32,2019-10-30 06:30:00+00:00,Graeme Dott v Shaun Murphy,World Open Qualifiers 2019,Snooker,False,True,
33,2019-10-30 06:30:00+00:00,Mark Selby v Noppon Saengkham,World Open Qualifiers 2019,Snooker,False,True,
34,2019-10-30 06:37:00+00:00,APrk (AUS) 30th Oct,Other,Greyhounds racing,False,True,
35,2019-10-30 06:44:00+00:00,Rich (AUS) 30th Oct,Other,Greyhounds racing,False,True,
36,2019-10-30 06:54:00+00:00,Ascot R3 1500m Mdn,Ascot,Horse Racing,False,True,
37,2019-10-30 06:55:00+00:00,Supanida Katethong v Natsuki Nidaira,Macau Open Women,Badminton,False,True,
38,2019-10-30 06:58:00+00:00,APrk (AUS) 30th Oct,Other,Greyhounds racing,False,True,
