,date/time,match,league,sport,bet365,betfair,st
1,2019-10-17 05:57:00,B Gojo v Ze Zhang,Ningbo Challenger 2019,Tennis,False,True,
2,2019-10-17 07:43:00,T Ito v Ferreira Silva,Ningbo Challenger 2019,Tennis,False,True,
3,2019-10-17 07:55:00,Mackay R6 1100m CL2,Mackay,Horse Racing,False,True,
4,2019-10-17 07:56:00,Nam/Song v Diez/Reboul,Ningbo Challenger 2019,Tennis,False,True,
5,2019-10-17 07:57:00,Gunneswaran v Yang,Ningbo Challenger 2019,Tennis,False,True,
6,2019-10-17 07:59:00,Mait (AUS) 17th Oct,Mait,Greyhounds racing,False,True,
8,2019-10-17 08:05:00,Northam R4 1000m CL1,Northam,Horse Racing,False,True,
9,2019-10-17 08:06:00,Addi (NZL) 17th Oct,Addi,Greyhounds racing,False,True,
10,2019-10-17 08:12:00,Waterford Win or Each Way,Waterford,Greyhounds racing,False,True,
11,2019-10-17 08:14:00,Shep (AUS) 17th Oct,Shep,Greyhounds racing,False,True,
12,2019-10-17 08:22:00,Mait (AUS) 17th Oct,Mait,Greyhounds racing,False,True,
13,2019-10-17 08:27:00,Warr (AUS) 17th Oct,Warr,Greyhounds racing,False,True,
14,2019-10-17 08:27:00,Waterford Win or Each Way,Waterford,Greyhounds racing,False,True,
15,2019-10-17 08:30:00,Mackay R7 1300m Hcap,Mackay,Horse Racing,False,True,
16,2019-10-17 08:34:00,Shep (AUS) 17th Oct,Shep,Greyhounds racing,False,True,
17,2019-10-17 08:42:00,Warr (AUS) 17th Oct,Warr,Greyhounds racing,False,True,
18,2019-10-17 08:43:00,Waterford Win or Each Way,Waterford,Greyhounds racing,False,True,
19,2019-10-17 08:45:00,Sapsiree Taerattanachai / Puttita Supajirakul v Me,Denmark Open Ladies Doubles,Badminton,False,True,
21,2019-10-17 08:45:00,Northam R5 1600m Mdn,Northam,Horse Racing,False,True,
22,2019-10-17 08:54:00,Shep (AUS) 17th Oct,Shep,Greyhounds racing,False,True,
24,2019-10-17 09:02:00,Waterford Win or Each Way,Waterford,Greyhounds racing,False,True,
25,2019-10-17 09:04:00,SPrk (AUS) 17th Oct,SPrk,Greyhounds racing,False,True,
26,2019-10-17 09:13:00,Warr (AUS) 17th Oct,Warr,Greyhounds racing,False,True,
27,2019-10-17 09:18:00,Waterford Win or Each Way,Waterford,Greyhounds racing,False,True,
28,2019-10-17 09:22:00,SPrk (AUS) 17th Oct,SPrk,Greyhounds racing,False,True,
29,2019-10-17 09:25:00,Northam R6 1400m CL3,Northam,Horse Racing,False,True,
30,2019-10-17 09:28:00,AnPk (AUS) 17th Oct,AnPk,Greyhounds racing,False,True,
31,2019-10-17 09:30:00,Ngan Yi Cheung v Carolina Marin,Denmark Open Ladies Singles,Badminton,False,True,
32,2019-10-17 09:30:00,Nozomi Okuhara v Yue Han,Denmark Open Ladies Singles,Badminton,False,True,
33,2019-10-17 09:34:00,Dapt (AUS) 17th Oct,Dapt,Greyhounds racing,False,True,
34,2019-10-17 09:34:00,Waterford Win or Each Way,Waterford,Greyhounds racing,False,True,
35,2019-10-17 09:40:00,Hoba (AUS) 17th Oct,Hoba,Greyhounds racing,False,True,
36,2019-10-17 09:43:00,Harris/Polmans v Purcell/Santillan,Ningbo Challenger 2019,Tennis,False,True,
37,2019-10-17 09:46:00,SPrk (AUS) 17th Oct,SPrk,Greyhounds racing,False,True,
38,2019-10-17 09:52:00,AnPk (AUS) 17th Oct,AnPk,Greyhounds racing,False,True,
39,2019-10-17 09:52:00,Waterford Win or Each Way,Waterford,Greyhounds racing,False,True,
40,2019-10-17 09:57:00,Bolt/Reid v He/Wu,Ningbo Challenger 2019,Tennis,False,True,
41,2019-10-17 09:58:00,Hoba (AUS) 17th Oct,Hoba,Greyhounds racing,False,True,
42,2019-10-17 10:00:00,Northam R7 1300m Mdn,Northam,Horse Racing,False,True,
44,2019-10-17 10:00:00,Heliovaara/Marchenko v Drzewiecki/Walkow,Ismaning Challenger 2019,Tennis,False,True,
47,2019-10-17 10:07:00,Waterford Win or Each Way,Waterford,Greyhounds racing,False,True,
48,2019-10-17 10:10:00,SPrk (AUS) 17th Oct,SPrk,Greyhounds racing,False,True,
49,2019-10-17 10:15:00,Junhui Li / Yuchen Liu v Chris Langridge / Marcus,Denmark Open Mens Doubles,Badminton,False,True,
50,2019-10-17 10:15:00,Shesar Hiren Rhustavito v Tien Chen Chou,Denmark Open Mens Singles,Badminton,False,True,
51,2019-10-17 10:16:00,Warr (AUS) 17th Oct,Warr,Greyhounds racing,False,True,
52,2019-10-17 10:22:00,Hoba (AUS) 17th Oct,Hoba,Greyhounds racing,False,True,
53,2019-10-17 10:23:00,Waterford Win or Each Way,Waterford,Greyhounds racing,False,True,
54,2019-10-17 10:28:00,SPrk (AUS) 17th Oct,SPrk,Greyhounds racing,False,True,
55,2019-10-17 10:30:00,K Gerlach v C Bucsa,ITF Seville,Tennis,False,True,
56,2019-10-17 10:34:00,AnPk (AUS) 17th Oct,AnPk,Greyhounds racing,False,True,
57,2019-10-17 10:40:00,Hoba (AUS) 17th Oct,Hoba,Greyhounds racing,False,True,
58,2019-10-17 10:41:00,Waterford Win or Each Way,Waterford,Greyhounds racing,False,True,
59,2019-10-17 10:46:00,Warr (AUS) 17th Oct,Warr,Greyhounds racing,False,True,
60,2019-10-17 10:52:00,SPrk (AUS) 17th Oct,SPrk,Greyhounds racing,False,True,
61,2019-10-17 10:58:00,Dapt (AUS) 17th Oct,Dapt,Greyhounds racing,False,True,
62,2019-10-17 11:00:00,Chengkai Han / Haodong Zhou v Chirag Shetty / Satw,Denmark Open Mens Doubles,Badminton,False,True,
63,2019-10-17 11:00:00,Sameer Verma v Long Chen,Denmark Open Mens Singles,Badminton,False,True,
64,2019-10-17 11:00:00,Tiafoe v Struff,ATP Antwerp 2019,Tennis,False,True,
66,2019-10-17 11:00:00,Inglot/Krajicek v Koolhof/Martin,ATP Stockholm 2019,Tennis,False,True,
67,2019-10-17 11:00:00,Svitolina v Kudermetova,Moscow Open 2019,Tennis,False,True,
70,2019-10-17 11:01:00,Central Park D5 265m,Central,Greyhounds racing,False,True,
71,2019-10-17 11:03:00,Sund 17th Oct,Sund,Greyhounds racing,False,True,
72,2019-10-17 11:07:00,Hoba (AUS) 17th Oct,Hoba,Greyhounds racing,False,True,
